ID	Longitud	Latitud	Region_Homogenea	Departamento	Municipio	Inferior	Normal	Superior	Indice	Porcentaje
6440	-75.675	7.175	Medellín - Carare - Opón	ANTIOQUIA	ITUANGO	9.7	19.8	70.5	3	70.5
6441	-75.625	7.175	Medellín - Carare - Opón	ANTIOQUIA	ITUANGO	9	17	74	3	74
6442	-75.575	7.175	Medellín - Carare - Opón	ANTIOQUIA	BRICEÑO	8.6	16.1	75.3	3	75.3
6443	-75.525	7.175	Medellín - Carare - Opón	ANTIOQUIA	BRICEÑO	9.8	16.1	74.1	3	74.1
6444	-75.475	7.175	Medellín - Carare - Opón	ANTIOQUIA	BRICEÑO	7.7	13.9	78.4	3	78.4
6445	-75.425	7.175	Medellín - Carare - Opón	ANTIOQUIA	VALDIVIA	6.8	13.4	79.8	3	79.8
6446	-75.375	7.175	Sinú - San Jorge - Porce	ANTIOQUIA	YARUMAL	9.2	19.6	71.3	3	71.3
6447	-75.325	7.175	Sinú - San Jorge - Porce	ANTIOQUIA	CAMPAMENTO	7.8	20.5	71.7	3	71.7
6448	-75.275	7.175	Sinú - San Jorge - Porce	ANTIOQUIA	ANORÍ	7.6	23.3	69.1	3	69.1
6449	-75.225	7.175	Sinú - San Jorge - Porce	ANTIOQUIA	ANORÍ	6.6	27	66.4	3	66.4
6450	-75.175	7.175	Sinú - San Jorge - Porce	ANTIOQUIA	ANORÍ	7.3	19.9	72.8	3	72.8
6451	-75.125	7.175	Sinú - San Jorge - Porce	ANTIOQUIA	ANORÍ	8.5	20.4	71.1	3	71.1
6452	-75.075	7.175	Sinú - San Jorge - Porce	ANTIOQUIA	ANORÍ	8.2	21.5	70.3	3	70.3
6453	-75.025	7.175	Sinú - San Jorge - Porce	ANTIOQUIA	ANORÍ	8.1	17.6	74.2	3	74.2
6454	-74.975	7.175	Sinú - San Jorge - Porce	ANTIOQUIA	AMALFI	10.4	16.2	73.4	3	73.4
6455	-74.925	7.175	Sinú - San Jorge - Porce	ANTIOQUIA	AMALFI	9.5	13	77.5	3	77.5
6456	-74.875	7.175	Sinú - San Jorge - Porce	ANTIOQUIA	AMALFI	9.1	17.5	73.4	3	73.4
6457	-74.825	7.175	Sinú - San Jorge - Porce	ANTIOQUIA	SEGOVIA	9	16.8	74.2	3	74.2
6458	-74.775	7.175	Sinú - San Jorge - Porce	ANTIOQUIA	SEGOVIA	10.5	15.7	73.8	3	73.8
6459	-74.725	7.175	Sinú - San Jorge - Porce	ANTIOQUIA	SEGOVIA	11.5	19.3	69.2	3	69.2
6460	-74.675	7.175	Sinú - San Jorge - Porce	ANTIOQUIA	SEGOVIA	11.6	13.9	74.4	3	74.4
