ID	Longitud	Latitud	Region_Homogenea	Departamento	Municipio	Correlacion_Pearson	Correlacion_Spearman	Hit-Skill-Score	k-2AFC-Score	k-2AFC-Categorical	k-2AFC-Continuous	ROC-above	ROC-below
69	-71.525	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.37	-0.4	12.79	36.54	44.81	30.03	0.25	0.29
70	-71.475	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.41	-0.45	-2.33	35.11	45.62	28.9	0.25	0.28
71	-71.425	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.42	-0.47	-16.28	34.22	41.23	27.6	0.22	0.27
72	-71.375	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.34	-0.31	-9.3	38.98	40.8	33.06	0.29	0.32
73	-71.325	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.46	-0.54	9.3	29.79	55.7	28.18	0.23	0.31
74	-71.275	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.49	-0.56	23.26	28.68	55.44	28.25	0.26	0.27
75	-71.225	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.53	-0.57	-16.28	29.68	50	20.92	0.17	0.19
76	-71.175	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.55	-0.61	-16.28	28.13	43.38	19.77	0.16	0.17
77	-72.175	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	0.39	0.43	-2.33	65.01	69.18	69.67	0.63	0.78
78	-72.125	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	0.4	0.47	9.3	67.11	72.49	74.79	0.74	0.79
79	-72.075	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	0.36	0.46	16.28	66.11	69.28	69.93	0.73	0.7
80	-72.025	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.12	0.42	-30.23	54.98	11.9	11.9	0.12	0.12
81	-71.975	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	0.19	0.39	79.07	63.01	44.05	71.43	0.71	0.71
82	-71.925	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	0.23	0.34	-58.14	63.01	60.36	61.75	0.61	0.63
83	-71.875	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	0.26	0.41	-30.23	63.68	63.47	68.18	0.64	0.73
84	-71.825	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	0.26	0.39	-23.26	63.79	62.58	64	0.61	0.69
85	-71.775	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	0.19	0.33	2.33	62.13	62.58	64.36	0.59	0.7
86	-71.725	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.07	0.04	-9.3	54.71	43.63	41.83	0.42	0.42
87	-71.675	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999	-999	-999	-999	-999	-999	-999
88	-71.625	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999	-999	-999	-999	-999	-999	-999
89	-71.575	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999	-999	-999	-999	-999	-999	-999
90	-71.525	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999	-999	-999	-999	-999	-999	-999
91	-71.475	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.29	-0.27	-16.28	41.31	39.94	30.52	0.26	0.3
92	-71.425	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.32	-0.3	-2.33	39.87	48.05	31.17	0.27	0.3
93	-71.375	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.33	-0.32	-9.3	39.42	45.7	34.09	0.33	0.3
94	-71.325	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.54	-0.58	5.81	28.46	55.54	27.52	0.23	0.29
95	-71.275	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.56	-0.61	-2.33	27.02	41.21	21.82	0.14	0.27
96	-71.225	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.51	-0.53	-16.28	31.12	45.45	23.58	0.15	0.28
97	-71.175	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.52	-0.55	-16.28	31.01	50	24.51	0.16	0.27
98	-72.125	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	0.36	0.42	12.79	65.67	69.44	69.1	0.66	0.74
99	-72.075	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	0.41	0.49	2.33	67.55	68.22	70.26	0.7	0.74
100	-72.025	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.03	0.25	26.74	55.37	42.92	50	0.5	0.5
101	-71.975	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.17	0.32	-79.07	51.38	50	30	0.3	0.3
102	-71.925	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	0.31	0.41	12.79	62.79	57.88	69.09	0.79	0.69
103	-71.875	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.2	0.3	-72.09	48.95	51.25	22.5	0.23	0.23
104	-71.825	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999	-999	-999	-999	-999	-999	-999
105	-71.775	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.12	0.42	-30.23	54.98	11.9	11.9	0.12	0.12
106	-71.725	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	0.01	0.15	-23.26	56.7	48.93	53.95	0.47	0.59
107	-71.675	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.18	-0.12	-9.3	46.62	63.33	33.59	0.34	0.34
108	-71.625	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999	-999	-999	-999	-999	-999	-999
109	-71.575	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999	-999	-999	-999	-999	-999	-999
110	-71.525	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999	-999	-999	-999	-999	-999	-999
111	-71.475	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.18	-0.03	-16.28	50.94	45.47	45.64	0.44	0.46
112	-71.425	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.27	-0.22	-2.33	42.52	50.81	37.13	0.36	0.35
113	-71.375	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.27	-0.18	-16.28	44.3	54.55	42.76	0.4	0.44
114	-71.325	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.17	-0.07	2.33	47.95	58.96	48.21	0.44	0.52
115	-71.275	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.54	-0.6	-16.28	27.69	41.37	24.92	0.15	0.31
116	-71.225	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.51	-0.62	-16.28	28.02	43.38	20.1	0.14	0.2
117	-71.175	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.52	-0.54	-16.28	30.9	50	23.86	0.17	0.26
118	-71.125	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.51	-0.49	-9.3	32.67	50	29.43	0.22	0.33
119	-72.175	12.075	Caribe - Cesar	LA GUAJIRA	URIBIA	0.42	0.47	5.81	66.56	68.65	68.08	0.56	0.81
120	-72.125	12.075	Caribe - Cesar	LA GUAJIRA	URIBIA	0.35	0.42	12.79	65.56	70.83	69.28	0.62	0.78
121	-72.075	12.075	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.23	0.28	-79.07	53.49	50	20	0.2	0.2
